id,name,duration,path,call_type,call_status,work_code,created_at,agent_info
732,file_example_MP3_700KB.mp3,00:00:42,media/1698835121/file_example_MP3_700KB.wav,ptcl,Uploading,Work Code,2023-11-01 10:38:42,
731,file_example_MP3_700KB.mp3,00:00:42,media/1698820020/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:27:00,
730,file_example_MP3_700KB.mp3,00:00:42,media/1698819810/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:23:30,
729,file_example_MP3_700KB.mp3,00:00:42,media/1698819535/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:18:55,
728,file_example_MP3_700KB.mp3,00:00:42,media/1698819461/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:17:42,
727,file_example_MP3_700KB.mp3,00:00:42,media/1698819313/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:15:13,
726,file_example_MP3_700KB.mp3,00:00:42,media/1698819301/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:15:01,
725,file_example_MP3_700KB.mp3,00:00:42,media/1698819042/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:10:42,
724,file_example_MP3_700KB.mp3,00:00:42,media/1698819002/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:10:03,
723,file_example_MP3_700KB.mp3,00:00:42,media/1698818892/file_example_MP3_700KB.wav,ptcl,In Progress,Work Code,2023-11-01 06:08:12,
722,file_example_MP3_700KB.mp3,00:00:42,media/1698818858/file_example_MP3_700KB.wav,ptcl,Uploading,Work Code,2023-11-01 06:07:38,
721,file_example_MP3_700KB.mp3,00:00:42,media/1698818008/file_example_MP3_700KB.wav,ptcl,Uploading,work_code,2023-11-01 05:53:29,
720,file_example_MP3_700KB.mp3,00:00:42,media/1698817517/file_example_MP3_700KB.wav,ptcl,Uploading,,2023-11-01 05:45:18,
719,file_example_MP3_700KB.mp3,00:00:42,media/1698817276/file_example_MP3_700KB.wav,ptcl,Uploading,,2023-11-01 05:41:16,
718,file_example_MP3_700KB.mp3,00:00:42,media/1698817259/file_example_MP3_700KB.wav,ptcl,Uploading,,2023-11-01 05:41:00,
717,file_example_MP3_700KB.mp3,00:00:42,media/1698817244/file_example_MP3_700KB.wav,ptcl,Uploading,,2023-11-01 05:40:44,
